experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,condition,method
ideal_baseline,ideal,0,0.0,0.0,0.0,0.0,-2.1637274769660952,-1.2136728365223133,0.1435719424286871,True,2.485021378447865,4,4,0.0,0.0,1.754063863529897,2.179509006309578,0,1.6883211068213668,0.5794092774195624,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,0.2,0.0,0.0,0.0,-1.2607482012430837,-0.5279628295476347,0.2961816781774019,True,1.398554383214896,8,4,0.1,0.2,1.4515807958591376,3.0100032387834266,0,1.685743219437027,0.0016935392053167232,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,0.4,0.0,0.0,0.0,-1.171640090269351,-0.3510258932561044,0.1920224362855075,True,1.2380760456852562,12,4,0.20000000000000004,0.4,1.347161185940518,3.061348856532553,0,1.6701000098172758,0.0015709941774517658,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,0.6000000000000001,0.0,0.0,0.0,-0.8468750841808588,-0.591595696901447,0.04399698012188996,True,1.0339819200829825,16,4,0.30000000000000004,0.6000000000000001,1.4268224357179404,3.3740645545493098,0,1.6651707673228766,0.0014367151919674969,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,0.8,0.0,0.0,0.0,-0.3877509835618899,-0.3435104178664765,0.24231475975955252,True,0.5718974341902087,20,4,0.4,0.8,1.5489311758154187,5.02778466933174,0,1.6682189214224188,0.001165705551881501,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,1.0,0.0,0.0,0.0,-0.2629305275236223,-0.2506205367429212,0.1880620509103074,True,0.4090360017574874,24,4,0.5,1.0,1.4730188377158762,5.008715981727542,0,1.6677608590638398,0.00028576658450629673,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,1.2,0.0,0.0,0.0,0.054793038754839124,-0.12700247719818916,-0.00023683216433104356,True,0.13831833717891465,24,4,0.49999999999999994,1.0,1.299300857616446,5.049572912141352,0,1.6658738027116968,0.00028576658450629673,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,1.4,0.0,0.0,0.0,0.16832512941875716,-0.17477632473744997,0.12384186747153061,True,0.27242782717888436,24,4,0.49999999999999983,0.9999999999999999,1.3701499322902482,4.923250958087032,0,1.6681694151143531,0.00015003675996002052,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,1.5999999999999999,0.0,0.0,0.0,0.49622349085383,-0.15687478654410525,0.0982273279486828,True,0.5296187869443056,24,4,0.49999999999999983,0.9999999999999998,1.2818376037207282,4.8514668824838,0,1.663033760367959,0.00015003675996002052,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,1.7999999999999998,0.0,0.0,0.0,0.28186222615092604,-0.1484533871311687,0.3108066299099113,True,0.44506795422432854,24,4,0.49999999999999983,0.9999999999999998,1.4100783030276294,4.715869315488305,0,1.6634533848251574,0.00015003675996002052,0,0,0,0,ideal,tro
