experiment,condition_name,run,seed,packet_loss,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,valid_estimate_count,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
packet_loss,loss_0.0_tro_sliding_window,0,7,0.0,tro_sliding_window,0.770321042022483,0.7141871947862835,0.7014857495933822,1.175805313275454,2.485021378447865,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9558977808303575,8.554916396834058,1.674697561651883,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,1,8,0.0,tro_sliding_window,0.7733144153671454,0.7141142521292259,0.692103867784498,1.169641276362154,2.5623281232908384,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9247209461209975,8.119345424243583,1.672411670382506,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,2,9,0.0,tro_sliding_window,0.766996602793584,0.7021283188899445,0.6896928528654322,1.294512179216084,1.7478053352153728,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9517961391354615,7.247695164018259,1.6749294612768106,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,3,10,0.0,tro_sliding_window,0.774080155612359,0.7182251932020999,0.6879009066739366,1.2534613589508046,1.5416680976455546,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9265890401583374,7.63913438821345,1.6731785609958423,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,4,11,0.0,tro_sliding_window,0.7771459670205605,0.7299334332338547,0.7374816898705214,1.1705781005927787,1.7414323939989287,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.906310053679294,8.77418837219062,1.6744068722098058,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,5,12,0.0,tro_sliding_window,0.8488926254890296,0.7677362882322842,0.738174897758135,1.3261251680638384,2.7850536289438934,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9835140339723545,7.9485821543214765,1.6747095472796836,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,6,13,0.0,tro_sliding_window,0.7798873804043291,0.7152680734420486,0.6999494020685841,1.2669298185627764,1.7143363635747317,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.8708901562673796,7.589125905548255,1.6712615151089336,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,7,14,0.0,tro_sliding_window,0.786803401182943,0.7231617094034487,0.6915028208166727,1.2759037466441936,2.119648655666731,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9408179618729693,7.756444576490556,1.6738096742572555,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,8,15,0.0,tro_sliding_window,0.844085195010693,0.7599355037190708,0.7224197596114474,1.4203504864612293,2.9251764846345387,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.962002543728893,8.62701050152929,1.6748816210448352,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_tro_sliding_window,9,16,0.0,tro_sliding_window,0.7946433423448084,0.7364346152852422,0.7332648526545433,1.196788656793706,2.4827062903207175,100.0,300,0,21.613333333333333,4.0,0.4403333333333353,1.0,1.971027947392823,7.200190898684987,1.673665111416847,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
