experiment,condition_name,run,seed,rate_case,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
heterogeneous_rates,equal_5hz,0,7,equal_5hz,tro,1.563114831563879,1.4549227933900262,1.481334069710717,2.4235567061428624,3.0262047373953216,99.66666666666667,15.893333333333333,3.9833333333333334,0.5417457886111161,1.0,1.9396894049905624,8.226887681994658,1.7875920967309729,232,0,0,0,1200,117,1083,1083,0,1083,1083,0,106,116,0,0,0,1200,64,1280.0,10.24,0.0
heterogeneous_rates,heterogeneous,0,1007,heterogeneous,tro,1.4825548100047619,1.3714273550698695,1.289443998558297,2.3999284253518196,3.3454797095381434,99.66666666666667,15.38,3.82,0.5392791291543655,1.0,1.7754195950617637,7.572273786251631,2.853521409789315,192,0,0,0,1080,99,981,981,0,981,981,0,86,95,0,0,0,1080,64,1152.0,9.216,0.0
