experiment,condition_name,run,seed,outlier_rate,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
outliers,outlier_0.0_gating_on,0,7,0.0,gating_on,0.770321042022483,0.7141871947862835,0.7014857495933822,1.175805313275454,2.485021378447865,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9558977808303575,8.554916396834058,1.674697561651883,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.0_gating_off,0,1007,0.0,gating_off,0.788289380765714,0.7277258694326062,0.6984788453783805,1.2292978704748798,1.991008127853222,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9934909813845578,8.847049637012068,1.6757152209064383,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.05_gating_on,0,2007,0.05,gating_on,0.8175338210414406,0.751640951816013,0.7256437073440247,1.3341597761790958,1.7882084405102052,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9737915075572692,7.557635833752664,1.7104373579942869,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.05_gating_off,0,3007,0.05,gating_off,5.7264199965344105,4.47095888512886,4.615320094563918,9.648040544050009,31.357108959091626,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,14.77036349913704,260.58207500843764,1.7179062219461991,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.1_gating_on,0,4007,0.1,gating_on,0.8339946357918563,0.7561148862195596,0.7014371844245142,1.405260122357091,2.1319158238913833,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9219768365561314,8.908254234322596,1.7419278985210638,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.1_gating_off,0,5007,0.1,gating_off,6.763251351362913,5.81208270161188,5.632752773988127,11.770418383728048,21.883238295288873,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,21.944609062402602,261.32236837971294,1.736739587515313,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.2_gating_on,0,6007,0.2,gating_on,0.9469606094521246,0.8428528827639444,0.8003101375361407,1.57456367548514,3.185783658733619,100.0,21.613333333333333,3.9566666666666666,0.4403333333333353,1.0,1.882003436968022,7.860941682753701,2.042799389796272,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
outliers,outlier_0.2_gating_off,0,7007,0.2,gating_off,11.652849005259773,10.32424054745153,9.98867117908766,21.192416184025074,30.69135900518755,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,49.22887573753511,268.6551588417207,1.7420747370957814,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
