experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,outlier_rate,method
outliers,outlier_0.05_gating_off,0,53.800000000000225,0.0,0.0,0.0,-5.9871981614547485,1.0475053530227862,1.2170260835815856,True,6.1987871214662995,20,4,0.4000000000000057,0.8000000000000114,17.126983667725614,253.48434835375411,0,1.7519961441884424,0.0030767542186929736,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,54.00000000000023,0.0,0.0,0.0,-6.225087689702691,0.9227490289554359,0.842642444730555,True,6.349269942645979,20,4,0.4000000000000057,0.8000000000000114,17.173932257323553,253.42250708767844,0,1.7529528781671773,0.001762383627625312,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,54.20000000000023,0.0,0.0,0.0,-6.148641513442727,1.2652397732517076,0.4820440399377286,True,6.295950333435675,20,4,0.4000000000000057,0.8000000000000114,17.234100397653584,253.5883118753901,0,1.7425752177452662,0.001762383627625312,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,54.40000000000023,0.0,0.0,0.0,0.24832839373301563,0.47088627417046824,1.735062224027058,True,1.8148944309743984,20,4,0.4000000000000057,0.8000000000000114,28.497731064828947,259.094420747053,0,1.838251995204808,0.002956560337918441,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,54.600000000000236,0.0,0.0,0.0,6.77571217351595,5.033752656360157,2.2318769191387537,True,8.73099168742758,20,4,0.4000000000000057,0.8000000000000114,31.157888831186717,252.27277635386318,0,1.6363296546396084,0.002956560337918441,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,54.80000000000024,0.0,0.0,0.0,6.852357306166876,5.195254420158533,2.2153417792866232,True,8.87993290180777,20,4,0.4000000000000057,0.8000000000000114,31.101332464131094,252.22724476376757,0,1.6212351448624245,0.003500094514821646,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,55.00000000000024,0.0,0.0,0.0,7.018702621054413,5.079387737315768,2.673703136973758,True,9.067031197335387,20,4,0.4000000000000057,0.8000000000000114,31.064642304784208,251.95153910049376,0,1.6249247586257916,0.002435148848880438,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,55.200000000000244,0.0,0.0,0.0,7.432508066900029,5.042980722965174,3.4494644100247367,True,9.621467427204628,20,4,0.4000000000000057,0.8000000000000114,30.99433710764656,251.38280495890507,0,1.628836952833999,0.002435148848880438,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,55.40000000000025,0.0,0.0,0.0,0.18100751056432077,6.124282713531317,2.4413910482677794,True,6.595452427597461,20,4,0.4000000000000057,0.8000000000000114,16.780573650727355,244.81841749581926,0,1.7108885214031448,0.0007849008750790172,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,55.60000000000025,0.0,0.0,0.0,0.23300850060522207,1.6031873580087446,0.18946012759871309,True,1.6310725937808754,20,4,0.4000000000000057,0.8000000000000114,2.2675691517066907,4.89760461363528,0,1.672315491891761,0.002435148848880438,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,55.80000000000025,0.0,0.0,0.0,0.37494146277862533,1.158050681920308,0.19306634713906393,True,1.2324516610416358,20,4,0.4000000000000057,0.8000000000000114,2.3719938583532114,5.082572127140123,0,1.6680173255901556,0.00027989742170915846,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,56.000000000000256,0.0,0.0,0.0,-3.8703920497987077,1.0602625335014393,2.416334109216873,True,4.6843101718883675,20,4,0.4000000000000057,0.8000000000000114,15.567329837014132,227.37453097665224,0,1.699985559884973,0.00027989742170915846,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,56.20000000000026,0.0,0.0,0.0,-4.212971856072147,0.5457786893570592,2.293036685044737,True,4.827527677473559,20,4,0.4000000000000057,0.8000000000000114,15.376955236175533,227.21481282974827,0,1.6956815163788685,0.00027989742170915846,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,56.40000000000026,0.0,0.0,0.0,-3.95837108072278,0.4572935832422295,2.327949171518368,True,4.614885305091558,20,4,0.4000000000000057,0.8000000000000114,15.491109502263518,227.36663954298606,0,1.6933768911820275,0.0007823892974828325,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,56.600000000000264,0.0,0.0,0.0,-4.640716351598584,-0.1839087930394183,2.501030441238858,True,5.274961987365892,20,4,0.4000000000000057,0.8000000000000114,15.194497889395919,226.75737660560392,0,1.7030114001568253,0.0007823892974828325,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,56.80000000000027,0.0,0.0,0.0,-4.59957717963497,0.31695956928765984,2.4305485761033543,True,5.211922867884736,20,4,0.4000000000000057,0.8000000000000114,15.195116938214904,226.84288219949525,0,1.7068351043020737,0.0013440092925903052,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,57.00000000000027,0.0,0.0,0.0,-0.8139509786916505,0.31473723520314884,0.06856728124089172,True,0.875372603519887,20,4,0.4000000000000057,0.8000000000000114,1.7898874427100737,4.2062908969134805,0,1.67216398711751,0.0013440092925903052,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,57.20000000000027,0.0,0.0,0.0,-7.052228297722437,0.5127807870425695,1.0116583511229598,True,7.142851021696724,20,4,0.4000000000000057,0.8000000000000114,17.22936700394107,254.88164561446897,0,1.7511338359095088,0.003525603066049608,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,57.400000000000276,0.0,0.0,0.0,-6.825007725247035,0.32664872500315173,1.139712120662736,True,6.92721975667103,20,4,0.4000000000000057,0.8000000000000114,17.21154487245228,255.05750262843142,0,1.744788918074741,0.0021496743759431575,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,57.60000000000028,0.0,0.0,0.0,-7.011011957162098,-0.08714358364377993,1.1436776466603036,True,7.104215736244969,20,4,0.4000000000000057,0.8000000000000114,17.279016912698353,254.87869616944346,0,1.7237705074533554,0.0014475196053257771,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,57.80000000000028,0.0,0.0,0.0,-7.138400237956119,-0.3642914814404766,1.1611202269621914,True,7.241385670033243,20,4,0.4000000000000057,0.8000000000000114,17.221233201994142,254.7517394411498,0,1.7195470678894744,0.0014475196053257771,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,58.000000000000284,0.0,0.0,0.0,-7.220324401526058,0.26547207171865533,1.7212544110330295,True,7.427400395268582,20,4,0.4000000000000057,0.8000000000000114,17.382863840226623,254.50160923458316,0,1.713949639584225,0.002258487132444379,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,58.20000000000029,0.0,0.0,0.0,1.261118425549739,1.0370264743907442,-1.100157507713941,True,1.9688042395392436,20,4,0.4000000000000057,0.8000000000000114,9.189535334075037,126.02984303371515,0,1.6805078967886944,0.002258487132444379,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,58.40000000000029,0.0,0.0,0.0,1.1304384818090956,1.0030472144478741,-1.168068636229397,True,1.9100730914049588,20,4,0.4000000000000057,0.8000000000000114,9.003992316430073,126.08953756755844,0,1.6907779271523313,0.0015844950702737742,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,58.60000000000029,0.0,0.0,0.0,1.4836280211107522,1.0220292223632763,-1.1854161228172597,True,2.1565962117708994,20,4,0.4000000000000057,0.8000000000000114,9.005768953406172,125.82072225550736,0,1.6980463282636638,0.0009734719005229306,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,58.800000000000296,0.0,0.0,0.0,1.4646966135043777,1.2918471991308837,-0.7560825480397488,True,2.094245968114486,20,4,0.4000000000000057,0.8000000000000114,9.254856444790251,126.03181123703602,0,1.6931406729588037,0.0009734719005229306,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,59.0000000000003,0.0,0.0,0.0,1.860285004430507,0.7329915557207444,-1.4861236216673137,True,2.4912848767944027,20,4,0.4000000000000057,0.8000000000000114,9.022600519344179,125.44298862703562,0,1.6846470870615728,0.0007561546042145316,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,59.2000000000003,0.0,0.0,0.0,-0.22290794490586774,0.052012844582224715,0.3344367517670369,True,0.40526686126079775,20,4,0.4000000000000057,0.8000000000000114,1.7842971428147578,3.8494204167886346,0,1.6868493974192393,0.0007561546042145316,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,59.400000000000304,0.0,0.0,0.0,-0.065668315372567,0.27346311415821123,0.3133829722927614,True,0.42107397185295536,20,4,0.4000000000000057,0.8000000000000114,2.023834556048852,3.8073731120969594,0,1.7004984403181327,0.0007561546042145316,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,59.60000000000031,0.0,0.0,0.0,0.37142525758497896,0.722206961297614,0.2538234070517341,True,0.8508618800288045,20,4,0.4000000000000057,0.8000000000000114,2.128094822858339,4.143232187138775,0,1.6964289235408703,0.0008855224803655703,0,0,0,0,0.05,gating_off
outliers,outlier_0.05_gating_off,0,59.80000000000031,0.0,0.0,0.0,0.3551610997375704,0.6938278184599727,0.023853059254047505,True,0.7798111417974882,20,4,0.4000000000000057,0.8000000000000114,1.7630764848767826,4.074565544528122,0,1.6886608217735473,0.0017624698747675726,0,0,0,0,0.05,gating_off
outliers,outlier_0.1_gating_on,0,0.0,0.0,0.0,0.0,1.864336790586227,0.1402550351264964,1.024520344623175,True,2.1319158238913833,4,4,0.0,0.0,1.7488377185231532,3.223761337946837,0,1.6929019231122513,0.5733733536238652,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,0.2,0.0,0.0,0.0,0.35080245199461235,0.47322069724825894,0.6677081872392869,True,0.8904124953839851,8,4,0.1,0.2,1.9512973293590508,3.1400340572420693,0,1.6916881371316932,0.0028291479006676756,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,0.4,0.0,0.0,0.0,-0.13585357044444124,0.4376009801392882,0.9530554615552865,True,1.0574807436647387,12,4,0.20000000000000004,0.4,1.9408412609105863,3.414656886756018,0,1.6886227438296209,0.0018062677779086404,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,0.6000000000000001,0.0,0.0,0.0,-0.056910226311626934,-0.03430648321042535,0.9878254488283492,True,0.9900579912318457,16,4,0.30000000000000004,0.6000000000000001,1.941625341057491,3.359795492415581,1,1.7744368988210761,0.00041602365922113884,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,0.8,0.0,0.0,0.0,0.09065265514007659,0.31269346409701204,0.8093782106262728,True,0.8724036876409466,20,4,0.4,0.8,1.8879166575262893,3.7124259879981856,1,1.7422967356770993,0.00041602365922113884,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,1.0,0.0,0.0,0.0,0.35537818174235775,0.23544532996427942,0.40011743710980746,True,0.584655555810268,24,4,0.5,1.0,1.9313343554318483,5.327162001120031,1,1.720693941412096,0.00041602365922113884,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,1.2,0.0,0.0,0.0,0.0765340546854774,0.29809059012070716,0.13864874446692935,True,0.33754841991537593,24,4,0.49999999999999994,1.0,1.6933636000575518,5.178289780243035,1,1.7166410733450783,0.00041602365922113884,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,1.4,0.0,0.0,0.0,-0.08319467848365618,-0.09906896432698405,-0.3984502459110683,True,0.4189255455178294,24,4,0.49999999999999983,0.9999999999999999,2.108151349028034,7.732737288122187,1,1.7084280324442087,0.000811493554580087,0,0,0,0,0.1,gating_on
outliers,outlier_0.1_gating_on,0,1.5999999999999999,0.0,0.0,0.0,0.0555530698503762,-0.27856693289796175,-0.8857698639487075,True,0.9302010167451388,24,4,0.49999999999999983,0.9999999999999998,1.976011075928686,7.215708287344316,2,1.780093062800379,0.000811493554580087,0,0,0,0,0.1,gating_on
