experiment,packet_loss,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,valid_estimate_count,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
packet_loss,0.0,latest_only,1.8401125091397876,1.6563719551103495,1.5578503527416454,3.117161322632344,4.440304950390457,100.0,300.0,0.0,4.0,4.0,0.0,0.0,1.6289480468419615,6.185776945673476,1.693629805511759,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.0,tro_sliding_window,0.7932581610692626,0.7265377379276481,0.6994228453694248,1.2763437864552925,2.2300472863231597,100.0,300.0,0.0,21.613333333333333,4.0,0.4403333333333353,1.0,1.9328265529221873,7.996695182078227,1.6739240047917772,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.05,latest_only,1.849323260809149,1.670840382360716,1.564016627955484,3.1157287665768263,4.644082233537673,100.0,300.0,0.0,3.9986666666666664,3.9986666666666664,0.01062777777777783,0.4000000000000038,1.6211173618815735,6.102903726208108,1.6943879803388318,121.7,0.0,0.0,0.0,1200.0,61.2,1138.8,1138.8,0.0,1138.8,1138.8,0.0,57.6,60.5,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.05,tro_sliding_window,0.817909586210629,0.7495920382031924,0.7158709151332557,1.319070070310952,2.005998822119415,100.0,300.0,0.0,20.480666666666668,3.999666666666667,0.44034056980539027,1.0,1.9206690441078897,7.873079273595276,1.7207160959956933,125.2,0.0,0.0,0.0,1200.0,62.7,1137.3,1137.3,0.0,1137.3,1137.3,0.0,59.4,62.5,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.1,latest_only,1.8564685135278776,1.6772922519256022,1.569722816116453,3.128497248080234,4.509483595351044,100.0,300.0,0.0,3.9985,3.9985,0.02186666666666678,0.5400000000000051,1.6420070884012195,6.159051957750473,1.6945670092351701,238.5,0.0,0.0,0.0,1200.0,119.7,1080.3,1080.3,0.0,1080.3,1080.3,0.0,107.7,118.8,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.1,tro_sliding_window,0.8582434615213301,0.7836779804758056,0.7439659439360102,1.4135433183381145,2.055287815624122,100.0,300.0,0.0,19.465,3.998166666666667,0.4402888273519373,1.0,1.920274695026606,8.116682753988764,1.753250433447095,237.35,0.0,0.0,0.0,1200.0,119.1,1080.9,1080.9,0.0,1080.9,1080.9,0.0,107.55,118.25,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.2,latest_only,1.8349524048571777,1.659825936756042,1.550536049096937,3.0922409072059684,4.610269925454537,100.0,300.0,0.0,3.9963333333333333,3.9963333333333333,0.04919722222222248,0.8000000000000039,1.6340887558035981,6.2349479591806745,1.6955780472892727,478.1,0.0,0.0,0.0,1200.0,240.1,959.9,959.9,0.0,959.9,959.9,0.0,192.3,238.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.2,tro_sliding_window,0.9184210438172016,0.8367176716940735,0.7973218349756623,1.505404151129422,2.3759759025815166,100.0,300.0,0.0,17.225,3.9945,0.44020937993291576,1.0,1.9119396599029468,7.851319648815886,1.8203967026290868,484.05,0.0,0.0,0.0,1200.0,243.25,956.75,956.75,0.0,956.75,956.75,0.0,191.85,240.8,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.3,latest_only,1.8586098838949963,1.6730804294608521,1.5592125403666444,3.1251089205903213,4.898556930797261,99.91666666666666,299.75,0.25,3.9876666666666667,3.9876666666666667,0.08309307878112267,0.9000000000000039,1.6332943212212143,6.210067215614222,1.7014041105092361,712.8,0.0,0.0,0.0,1200.0,358.1,841.9,841.9,0.0,841.9,841.9,0.0,248.3,354.7,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
packet_loss,0.3,tro_sliding_window,0.987421449482483,0.8928226376340639,0.8398768408454167,1.6188909224057713,3.011910163463529,99.93333333333334,299.8,0.2,15.243333333333334,3.9836666666666667,0.4400374112726344,1.0,1.907631818406307,7.574602459718379,1.8810371218957447,702.0,0.0,0.0,0.0,1200.0,353.25,846.75,846.75,0.0,846.75,846.75,0.0,246.9,348.75,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
