experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,rate_case,method
heterogeneous_rates,equal_5hz,0,0.0,0.0,0.0,0.0,,,,False,,0,0,,,,,0,inf,0.0,1,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,0.2,0.4,0.1,0.0,1.4679579961129612,-1.6902312578294396,0.7888762976317104,True,2.228853528371998,3,3,0.20000000000000004,0.2,1.4655363568681408,1.981023177649035,0,2.4826855722559342,0.5753915255801996,1,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,0.4,0.8,0.2,0.0,0.9808937428720429,-1.4516235963951638,0.5101780327011789,True,1.7380634842923308,7,4,0.2857142857142857,0.4,1.2068884902476218,1.7710978991082942,0,1.8921175546192877,0.004735392997710541,1,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,0.6000000000000001,1.2000000000000002,0.30000000000000004,0.0,0.7696089736490647,-0.6248842392693398,0.24768105355960068,True,1.0497586369754863,11,4,0.3818181818181819,0.6000000000000001,1.2983187782728312,3.3386444343150887,0,1.7828590225561645,0.0011066099587292678,1,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,0.8,1.6,0.4,0.0,1.1783629298448626,-0.4754951649472848,0.28470270799143793,True,1.012583445802241,15,4,0.48000000000000015,0.8,1.316327538998616,3.1650570168798353,0,1.7402740534072851,0.0011066099587292678,3,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,1.0,2.0,0.5,0.0,1.3661408602514113,-0.2884668362378061,0.32476347509198794,True,1.0625105531915908,17,4,0.6235294117647059,1.0,1.4637818289091937,2.980145079449123,0,1.7501282305339518,0.0011066099587292678,4,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,1.2,2.4,0.6,0.0,1.0912816766302176,0.10988418132126837,0.06471264774639715,True,1.3989799471119257,17,4,0.6470588235294117,1.0,1.3869841798434996,2.8391411432801066,0,1.751450256911953,0.0011066099587292678,5,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,1.4,2.8,0.7,0.0,2.00208375644136,0.48471257209664376,0.13924230497656018,True,0.8380975049737106,17,4,0.6117647058823529,0.9999999999999999,1.6154215578705275,3.832276615618751,0,1.7710498652528694,0.001916614242948668,7,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,1.5999999999999999,3.1999999999999997,0.7999999999999999,0.0,2.7074716594800776,0.6465511123688716,0.21846706422343723,True,0.5602308323190954,17,4,0.576470588235294,0.9999999999999998,1.4844689863017297,3.127654584373189,0,1.7747473176184618,0.0016017620123100088,7,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,1.7999999999999998,3.5999999999999996,0.8999999999999999,0.0,2.643119128347573,0.8980361910422152,0.21711246495700312,True,0.9812047092832547,17,4,0.5411764705882351,0.9999999999999998,1.6941661377858954,3.174447825245939,0,1.7853317888365519,0.0016017620123100088,8,0,0,0,equal_5hz,tro
