experiment_name,condition_name,method,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,0.0,0.0,0.0,0.0,-1.905472044154734,1.6335569269587176,0.9206310144388345,True,2.6733674288089744,3,3,0.0,0.0,2.0994170695278855,2.9616637853078718,0,2.3228625214916785,0.5735973880911179,1,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,0.2,0.0,0.0,0.0,1.8187599393777218,-0.21293088769694288,1.1006966274873462,True,2.136529977740233,3,3,0.0,0.0,0.5837880658678132,0.8310015436833059,0,2.4139302501880184,0.5775082842735171,2,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,0.4,0.0,0.0,0.0,,,,False,,1,1,0.0,0.0,,,0,inf,0.0,5,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,0.6000000000000001,0.0,0.0,0.0,-0.3254319114644654,0.38205685085602326,-0.8355497764197155,True,0.97468805017835,4,4,0.0,0.0,1.187968759777445,1.4530336713524166,0,1.6682752163396846,0.5816093440701502,7,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,0.8,0.0,0.0,0.0,2.260582147385177,-0.8073909623547277,3.046963034882865,True,3.878929690921359,3,3,0.0,0.0,2.7681362106657463,3.4705757331136726,0,2.5484117102770787,0.5571099376926416,8,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.0,0.0,0.0,0.0,2.115058360869037,-0.13298771040165575,-1.2053251131738985,True,2.4380250674362567,3,3,0.0,0.0,2.505063218991752,3.1519134870108565,0,2.3667919069491217,0.5730003210751826,9,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.2,0.0,0.0,0.0,-4.115059310718533,-0.7280369940913561,-1.5600504725016058,True,4.460662335600998,3,3,0.0,0.0,1.0169779731575295,1.2520214209854712,0,2.3239191759292144,0.5915480853908214,10,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.4,0.0,0.0,0.0,1.880174182884327,-0.06105837653894986,0.45762469288744895,True,1.9360277484764135,4,4,0.0,0.0,2.291019686879491,3.2593500419341477,0,1.714022075214559,0.5767745484067572,13,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.5999999999999999,0.0,0.0,0.0,0.6416200775542885,1.336836814436655,1.2153368808396592,True,1.9172513466634953,3,3,0.0,0.0,0.3722065291534847,0.47359291431069905,0,2.4037993892603717,0.5788223678635095,14,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.7999999999999998,0.0,0.0,0.0,-1.4174465717239235,3.7131884433752957,-0.22854691051619533,True,3.9810999598118926,2,2,0.0,0.0,1.4877407853775806,1.4964865687831392,0,10.798564331766066,0.5797659482845277,17,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,1.9999999999999998,0.0,0.0,0.0,-1.6293907311552374,1.2290574038130013,0.31224244106078075,True,2.064701334004933,3,3,0.0,0.0,1.1878288631168517,1.469836879037835,0,2.3819143698811724,0.5768163473627602,20,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,2.1999999999999997,0.0,0.0,0.0,-0.8042170610645503,-0.43191728799054896,-0.6687614879024693,True,1.1316181125600357,3,3,0.0,0.0,0.89656794059565,1.1216360244708388,0,2.3284655581417226,0.5803580466344349,22,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,2.4,0.0,0.0,0.0,1.6294825208377302,-0.1599375803555706,0.24743142510701513,True,1.6559032657302681,3,3,0.0,0.0,0.29805627364939924,0.4052266052015098,0,2.4471447365944123,0.5795165616017711,24,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,2.6,0.0,0.0,0.0,-0.02867119306064952,0.10973870152275822,1.3604818031117343,True,1.3652015809108844,4,4,0.0,0.0,0.9979022130883122,1.418667875389355,0,1.7022638306210391,0.5732953333578957,25,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,2.8000000000000003,0.0,0.0,0.0,1.2668395344186199,-0.8089844559823772,-0.1113475131077489,True,1.5072280931107833,3,3,0.0,0.0,1.6574165076843386,2.233514746157699,0,2.315508647686752,0.577326267793414,26,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,3.0000000000000004,0.0,0.0,0.0,0.520398395207014,-1.5334515032658687,-1.164746872950387,True,1.99472386075118,3,3,0.0,0.0,1.3108844362652337,1.7975719505236951,0,2.3411257019578398,0.595073642822696,28,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,3.2000000000000006,0.0,0.0,0.0,-2.3663032448181562,-0.46088866905683207,-1.5557536437197035,True,2.8691773754247136,2,2,0.0,0.0,0.3177787698271155,0.32961776058211584,0,2.241192927554766,0.9948829803386369,31,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,3.400000000000001,0.0,0.0,0.0,0.4001083291472573,-1.4048304824342466,1.2599188419922347,True,1.928997368540585,3,3,0.0,0.0,1.4907809466462394,2.1632562746037602,0,2.346880153537784,0.5766447629544601,34,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,3.600000000000001,0.0,0.0,0.0,,,,False,,1,1,0.0,0.0,,,0,inf,0.0,37,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,3.800000000000001,0.0,0.0,0.0,-0.3442784937786304,0.19435188430620923,1.4167072581493143,True,1.4708364258151905,3,3,0.0,0.0,1.1578676491025195,1.257692212803694,0,2.3078954835772274,0.5793848782125691,42,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,4.000000000000001,0.0,0.0,0.0,0.48110946114271697,-2.193838728086465,0.612331286126123,True,2.3279485136965437,3,3,0.0,0.0,1.7552147552611477,1.9021105503749816,0,2.442700954819456,0.5755100954029577,44,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,4.200000000000001,0.0,0.0,0.0,-2.084324771389508,-2.6608196998532376,-2.4314989562039884,True,4.163719299109402,2,2,0.0,0.0,1.423813059459151,1.45991021296421,0,2.251950721385038,0.9940411104592651,46,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,4.400000000000001,0.0,0.0,0.0,-1.0871088679549405,1.4172875235697622,-0.7607844495156352,True,1.9414691843749643,2,2,0.0,0.0,1.9972340502457406,2.0302367410265045,0,10.855205036322126,0.5784743366628,49,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,4.600000000000001,0.0,0.0,0.0,0.6119497031799295,-0.07471283523011028,0.8230281435344176,True,1.0283189057971438,2,2,0.0,0.0,0.4086721077702468,0.41194251251436914,0,2.1994958073604276,0.9959100866382701,54,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,4.800000000000002,0.0,0.0,0.0,-0.7229008676475154,0.6931754229194832,1.5633359532041522,True,1.8566359723881982,4,4,0.0,0.0,1.7984176140233836,3.136585892548327,0,1.799285962259777,0.5647594740793379,57,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,5.000000000000002,0.0,0.0,0.0,2.055909698796969,-2.246744703676269,-0.458200029531236,True,3.0797035117308345,3,3,0.0,0.0,1.4674169810837354,2.055330827397045,0,2.3700947716407694,0.5757412894260104,58,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,5.200000000000002,0.0,0.0,0.0,2.133547254415227,1.6603204476896014,0.40974497886226124,True,2.734333341701737,3,3,0.0,0.0,0.6435013223045086,0.7581036449408937,0,2.4339926934450213,0.5799938814740779,59,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,5.400000000000002,0.0,0.0,0.0,-0.6994446367256926,2.161570719619922,-0.03414005639799823,True,2.272174359333672,2,2,0.0,0.0,1.5722711362060955,1.622829287136464,0,2.213034122037753,0.9958709046303285,63,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,5.600000000000002,0.0,0.0,0.0,0.5403735842046997,1.1450786214881317,0.044369085551880134,True,1.2669559091176392,3,3,0.0,0.0,1.0473630562875584,1.4438746139896026,0,2.439316223479501,0.5818937939773594,65,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,5.8000000000000025,0.0,0.0,0.0,1.3146421385537088,-3.4019027409926137,-1.0754234859292016,True,3.802336371985288,2,2,0.0,0.0,0.08056440366715084,0.08190545251647792,0,10.462868034399778,0.5880995064617802,67,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,6.000000000000003,0.0,0.0,0.0,-0.23396044738248364,-4.391483664104508,-2.0240208046945356,True,4.841128637092025,2,2,0.0,0.0,0.5676336266649948,0.5940415649779696,0,2.256466013995324,0.9945968273992919,72,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,6.200000000000003,0.0,0.0,0.0,-4.961527616707587,-0.8204127386464602,-0.4313502695773828,True,5.047365293710167,2,2,0.0,0.0,2.499514790554817,2.5681293481245357,0,10.564656717775721,0.5856969951349486,76,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,6.400000000000003,0.0,0.0,0.0,-1.4422109085460815,0.16185949169895855,0.8292664883365537,True,1.6714824882302532,3,3,0.0,0.0,1.3041887528981206,1.7902168756481702,0,2.380232209704037,0.5775552865590167,79,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,6.600000000000003,0.0,0.0,0.0,-1.416849381081089,-2.425152058406319,-2.7312223996752825,True,3.9177034690683623,3,3,0.0,0.0,1.765022434398819,2.7853147307667974,0,2.2874204253319923,0.586740069458319,80,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,6.800000000000003,0.0,0.0,0.0,1.3522120357132694,0.3500227160864767,2.1736229444461634,True,2.5837240556853565,3,3,0.0,0.0,0.3860464144628994,0.45694089842671193,0,2.418702856047012,0.573356734044655,84,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,7.0000000000000036,0.0,0.0,0.0,-0.39796086552463,0.03418540007996391,0.45824802799151976,True,0.607892052280548,2,2,0.0,0.0,1.6628871784241377,1.7028225362866731,0,2.227083476185514,0.9950750344987818,87,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,7.200000000000004,0.0,0.0,0.0,-1.164216260350959,-1.151784066089505,-1.468682589382551,True,2.19978057635726,4,4,0.0,0.0,2.264679707325797,2.9935888139515523,0,1.6819242260475076,0.587792642223897,89,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,7.400000000000004,0.0,0.0,0.0,-2.562268521054456,-0.8280403884806484,0.5414016844593688,True,2.7466318724716667,2,2,0.0,0.0,0.9211503543582381,0.9350940422014361,0,2.211111564107559,0.995545645826545,91,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,7.600000000000004,0.0,0.0,0.0,0.041720853557792245,-0.04140101641925956,-1.6352194348166234,True,1.6362754272383777,3,3,0.0,0.0,0.7063834415779987,0.870612774813874,0,2.415012455333034,0.5895941367301574,94,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,7.800000000000004,0.0,0.0,0.0,-4.215291589211102,5.555731629201389,-1.3430625200269972,True,7.102017604208247,2,2,0.0,0.0,2.8204586966285348,2.9681509272977706,0,10.511905326356679,0.5875956355987809,97,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,8.000000000000004,0.0,0.0,0.0,3.787037126157372,0.7967783384588982,0.2199953880308457,True,3.8761970907432524,2,2,0.0,0.0,1.210186630245211,1.2245606740952117,0,10.788987973166398,0.580027815141685,101,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,8.200000000000003,0.0,0.0,0.0,1.2411993818574618,-0.837851697951625,-0.5753846082363138,True,1.6042564697326367,2,2,0.0,0.0,0.5266358172646742,0.5306464225842186,0,10.723023897289382,0.5816021354721271,103,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,8.400000000000002,0.0,0.0,0.0,0.37143010728392467,2.1668636426775563,-1.030262155221815,True,2.4279000142174505,4,4,0.0,0.0,1.5540375945254659,2.2863812233067384,0,1.6724174320627538,0.5800866411858004,107,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,8.600000000000001,0.0,0.0,0.0,2.635437607686788,-0.9339080561800527,2.145380581967532,True,3.5242550252345826,3,3,0.0,0.0,1.105247464819903,1.4776358652454982,0,2.416157812292602,0.5688167162338915,108,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,8.8,0.0,0.0,0.0,0.40896210578785663,-3.69593693771296,0.4198333700660468,True,3.7421197081523867,3,3,0.0,0.0,1.7686776945409317,2.269862726388807,0,2.476936434468645,0.5798855083212926,110,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.0,0.0,0.0,0.0,-0.10905668354939038,0.8656904846813893,1.3004769618519403,True,1.5660631225472181,2,2,0.0,0.0,0.5469423677310076,0.5760103913183857,0,2.2497025174553698,0.9952276488007886,112,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.2,0.0,0.0,0.0,-0.995833257624194,1.19143574656377,0.11648339395750258,True,1.557167748268709,4,4,0.0,0.0,1.8249139549301336,2.5780534275253015,0,1.6611409014820238,0.5764759830827096,115,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.399999999999999,0.0,0.0,0.0,-3.4859574367197372,0.45496462318625325,-0.49525208530302195,True,3.5502347368828504,3,3,0.0,0.0,0.9567623712869776,1.418541836582085,0,2.471411305665313,0.584911823535619,116,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.599999999999998,0.0,0.0,0.0,-0.5903223430365232,0.631640451112989,-1.4688038711454272,True,1.7043576326763534,4,4,0.0,0.0,1.6054900724755585,2.0185273422958256,0,1.731654324798193,0.5867974585955218,117,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.799999999999997,0.0,0.0,0.0,5.072515469143633,-0.3564394265913339,0.0193970971890953,True,5.085060323822086,4,4,0.0,0.0,3.1819914114482426,4.736868346813109,0,1.6985847921085033,0.5720431913637906,117,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,9.999999999999996,0.0,0.0,0.0,1.4745250901832467,-0.5789489133189403,-0.6548603473635848,True,1.7141318970144184,3,3,0.0,0.0,1.4983951509983713,1.9848220433647832,0,2.3919371619858407,0.5828255018975798,118,0,0,0
1D_packet_loss_sweep,loss_0.3_speed_0,synchronized_bearing_fusion,10.199999999999996,0.0,0.0,0.0,-0.23521017809684305,-5.999688985107301,-1.0327786010950826,True,6.092472682316938,2,2,0.0,0.0,0.1849976008949795,0.19571600999496838,0,2.205670301278187,0.997318402698901,121,0,0,0
