experiment_name,condition_name,method,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0.0,0.0,0.0,0.0,,,,False,,1,1,0.0,0.0,,,0,inf,0.0,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0.2,0.0,0.0,0.0,-0.8442406046404104,-0.7215974474500825,-0.07900954482568634,True,1.11341258429373,5,3,0.09000000000000001,0.2,2.381075243496399,3.4979477213021632,0,3.840594377448155,0.004930203972873536,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0.4,0.0,0.0,0.0,-1.059381454795557,-0.045991616898650486,-0.2509055027924568,True,1.0896595188044924,9,4,0.19555555555555557,0.4,2.83016904709775,4.593563303074194,0,2.5670803368793824,0.001218366158953131,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0.6000000000000001,0.0,0.0,0.0,0.32680589022453516,-0.3981758855095877,0.06714874478239924,True,0.5194757738457559,10,4,0.26600000000000007,0.5000000000000001,3.1747502490063875,7.180528625158526,0,2.9096180656374124,0.003150067742380659,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0.8,0.0,0.0,0.0,1.9655482533517625,-0.47502883116288325,-0.9549505368072547,True,2.2362832679333366,10,4,0.256,0.5,2.636244645911384,5.835170530181943,0,2.9276774353388086,0.0027941767610520822,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1.0,0.0,0.0,0.0,0.7464258117840371,-0.7655169786671092,-0.9521195341454134,True,1.431677108997122,9,3,0.25222222222222224,0.5,3.1410712315078424,6.036675699046881,0,4.0265061118947605,0.00266673843791171,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1.2,0.0,0.0,0.0,1.6160864647102011,-0.38801766446526703,0.10640820117371913,True,1.6654176276939139,9,3,0.2188888888888889,0.5,2.56234870326523,4.973378266396009,0,4.0283565746350884,0.0013133888412894224,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1.4,0.0,0.0,0.0,0.3505443656462124,-0.30466633678815447,0.5243365421326353,True,0.7004510964184634,10,4,0.22599999999999998,0.5,2.3122574503881195,3.9752894441266258,0,2.992466082987728,0.00262107996331837,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1.5999999999999999,0.0,0.0,0.0,-0.9958747650401997,-0.3701739341076553,0.27013805760658827,True,1.096252643921132,10,4,0.2659999999999998,0.5,2.3183726211874367,3.6330502193294074,0,2.964324520642247,0.0025722255935773717,0,0,0,0
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1.7999999999999998,0.0,0.0,0.0,-1.7666766790307933,-0.14430607867500048,0.28020483349684705,True,1.7945711134666198,10,4,0.2559999999999997,0.4999999999999998,2.003472654180546,3.4673347567977832,0,2.9186871629797917,0.00087236465034332,0,0,0,0
