experiment_name,condition_name,method,target_speed,uav_rates,fusion_rate,packet_loss,delay,bearing_noise_deg,position_noise_m,sync_tolerance_s,sliding_window_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,availability_percent,valid_estimates,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,packet_loss_count,stale_rejected_count,duplicate_count,out_of_order_count,monte_carlo_runs
1C_delay_sweep,delay_0s,synchronized_bearing_fusion,2.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.1346568008811055,1.9360755896411064,1.8243179535249556,3.5933002707298782,5.250394936345012,100.0,300.0,0.0,4.0,4.0,0.0,0.0,1.8938837557256023,6.9640971357593315,1.7304107285778296,0.0,0.0,0.0,0.0,20
1C_delay_sweep,delay_0s,tro_sliding_window_fusion,2.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2839752505634185,1.174944808725111,1.1190829922928824,2.1224453589505448,3.0360045357642687,100.0,300.0,0.0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.2227183811303686,9.104191120663343,1.7228601237244359,0.0,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.05_speed_0,synchronized_bearing_fusion,0.0,5;5;5;5,5.0,0.05,0.0,0.5,1.0,0.05,0.5,2.2060456753190096,1.9845446710554735,1.8473507133231284,3.7258764959671113,6.301691760152141,99.95,299.85,0.15,3.7961666666666667,3.7961666666666667,0.0,0.0,1.8076857105229784,6.704356415057097,1.862586085355731,121.95,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.05_speed_0,tro_sliding_window_fusion,0.0,5;5;5;5,5.0,0.05,0.0,0.5,1.0,0.05,0.5,1.2533370807174835,1.145134932452288,1.0887271301195671,2.050160708491314,2.986758776169347,100.0,300.0,0.0,11.374833333333333,3.999,0.19900504329004431,0.4000000000000057,2.174953511343377,8.483473533855243,1.7410660111473544,117.0,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.05_speed_2,synchronized_bearing_fusion,2.0,5;5;5;5,5.0,0.05,0.0,0.5,1.0,0.05,0.5,2.2323862541002244,2.0086207424128775,1.8752507800532883,3.7975327848475215,6.340377861019738,99.98333333333333,299.95,0.05,3.7969999999999997,3.7969999999999997,0.0,0.0,1.840478207371633,7.031235678856295,1.8811796073818847,121.45,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.05_speed_2,tro_sliding_window_fusion,2.0,5;5;5;5,5.0,0.05,0.0,0.5,1.0,0.05,0.5,1.336037752795089,1.2231556985907095,1.1676132232219838,2.183185617495266,3.1280642485175845,100.0,300.0,0.0,11.376166666666666,3.998833333333333,0.19899221861471966,0.4000000000000057,2.2249557328447658,9.23743537393381,1.768839076582075,116.75,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.1_speed_0,synchronized_bearing_fusion,0.0,5;5;5;5,5.0,0.1,0.0,0.5,1.0,0.05,0.5,2.3104959077802087,2.0641223783744542,1.915422490070138,3.880188803153872,7.574459455398225,99.66666666666666,299.0,1.0,3.601833333333333,3.601833333333333,0.0,0.0,1.7598338115775278,6.270107347135421,2.0760071185846254,237.85,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.1_speed_0,tro_sliding_window_fusion,0.0,5;5;5;5,5.0,0.1,0.0,0.5,1.0,0.05,0.5,1.2759117828882043,1.164018633300556,1.1052166401390258,2.119356046360203,3.0389963899378443,100.0,300.0,0.0,10.811,3.993666666666667,0.1990216726791737,0.4000000000000057,2.144643078264523,8.218164025102514,1.7866024407102787,229.8,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.1_speed_2,synchronized_bearing_fusion,2.0,5;5;5;5,5.0,0.1,0.0,0.5,1.0,0.05,0.5,2.321828801113467,2.074138729820572,1.9152413228593077,3.9345601469794316,7.39958048127163,99.71666666666667,299.15,0.85,3.612166666666667,3.612166666666667,0.0,0.0,1.7969833961650383,6.7176337193247475,2.0420458949646756,231.85,0.0,0.0,0.0,20
1D_packet_loss_sweep,loss_0.1_speed_2,tro_sliding_window_fusion,2.0,5;5;5;5,5.0,0.1,0.0,0.5,1.0,0.05,0.5,1.3652669562244302,1.2494021133371316,1.19919564516242,2.249818425093264,3.1334263257481214,100.0,300.0,0.0,10.792166666666667,3.993333333333333,0.19899826960077063,0.4000000000000057,2.2001744267409062,8.959401948680577,1.810151757305071,233.55,0.0,0.0,0.0,20
