experiment_name,condition_name,method,run,seed,target_speed,uav_rates,fusion_rate,packet_loss,delay,bearing_noise_deg,position_noise_m,sync_tolerance_s,sliding_window_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,availability_percent,valid_estimates,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,packet_loss_count,stale_rejected_count,duplicate_count,out_of_order_count,monte_carlo_runs
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,10,1017,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2261027400150737,1.1129317748777323,1.0241288469808862,2.072730554149514,3.247931549370125,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.134298991641747,7.807765095446226,1.677314647449088,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,11,1018,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2017857398565428,1.0957115987047743,1.0511884259451014,1.8537280332907469,3.1768748284962887,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.197648597649801,9.934022502648602,1.679055521311397,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,12,1019,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.19735722164497,1.104420377348238,1.0795685971916338,1.9068640951670994,2.5502816914408553,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.21245790862026,8.699464593406889,1.6803606696283213,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,13,1020,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.1945521391894722,1.0931947373194104,1.0181081975830781,1.9331655323580996,3.412357884712548,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.173365621748798,7.81683719504198,1.6778596355831255,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,14,1021,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.1364103609631067,1.0375309839307576,1.0078928416496487,1.8162004399553666,2.9505741971451895,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.1392096930689557,8.098824271280403,1.680382265382212,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,15,1022,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2335968589436987,1.125060424901438,1.062403514658365,2.014527943449565,2.725241605180399,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.2308091093215703,9.589136307626434,1.681056225659255,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,16,1023,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2419650152334152,1.1370865203466456,1.079057423177389,2.0053007330784745,2.6552915970482784,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.117110452702137,7.3953677337225825,1.677391653148521,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,17,1024,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.194208695239876,1.0865825231572201,1.0205208886770571,1.9981750532623288,3.064856413332265,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.1437653735994076,8.338595354233723,1.6776696746455526,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,18,1025,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2116214625770674,1.093975801511356,0.9925326812125115,2.099135563535292,3.287383637958881,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.131099672262747,7.98111599273835,1.6806771705674655,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,19,1026,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.1549331489752828,1.0573663819247694,1.0073298612588215,1.9556255979355655,2.3457219844036463,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.0897883933614243,9.323406184337845,1.6768856810145722,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,0,10007,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.2935060522960695,3.6056024317144946,3.1383744567400695,7.8586935859404505,12.60735747983895,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.0084303635715637,3.2383507786691976,10.728225619780925,0,0,0,0,20
